date,nse,prediction,dji,ftse,nikkei,SandP,ssec
20000105,-0.253249527,0,-3.166011628,-3.81374687,0.00342259,-3.834466824,0.103671579
20000106,0,1,1.134037983,-1.950224304,0.169658373,0.19221827,-0.258639607
20000107,-0.06181998,0,1.174264905,-1.357115444,0.141902617,0.095567824,0.90249722
20000110,0.145664167,1,2.393082587,0.893405017,0,2.709039961,0.996175136
20000111,0.018371659,0,0.430812526,1.581914787,0.289607333,1.118996949,0.16606679
20000112,-0.012718601,1,-0.528163348,-1.343891072,-0.375313249,-1.306251188,-0.406818305
20000113,0.187715411,0,0.347660947,0.213224673,-0.054826791,-0.438637161,-0.039430397
20000114,0.046256322,1,0.271230282,-0.019896599,0.263900638,1.216970082,0.125100354
20000117,0.04621784,0,0,1.93983304,0.364350882,0,0.009938261
20000118,0.003102507,0,1.213482695,0.169712605,-0.12738322,1.067129948,0.248231957
20000119,0.208501898,1,-1.384125312,-2.47244774,-0.076582274,-0.683207101,-0.052503288
20000120,-0.012233538,0,-0.617257244,-0.908589262,0.172029845,0.052229269,0.164500279
20000121,0.009368559,1,-1.201638175,-1.500290261,-0.069019009,-0.709532099,0.343726161
20000124,0.151178576,0,-0.877343138,-0.037809157,0.001965771,-0.291231912,0.052766291
20000125,-0.040282598,0,-2.164471364,0.527866647,-0.274550578,-2.763359356,0.385080592
20000127,0.888804841,1,0.028110707,1.617761885,0.075503882,-0.421272092,0.629935269
20000128,-0.015587007,0,-0.045053063,1.025784256,0.266995397,-0.393842783,0.517068343
20000131,-0.046901382,0,-2.621952284,-1.015368763,-0.307026486,-2.745682944,0.000198828
20000201,0,1,1.877852584,-1.679843409,-0.015453308,2.521756716,0
20000202,0.303323653,1,0.918781243,0.357340704,0.509433557,1.062781895,0
20000203,0.20465995,1,-0.342808072,0.189160584,0.354664532,-0.011355728,0
20000204,0.037549283,1,0.093065925,0.341118244,0.403152922,1.124813788,0
20000207,0.003125488,1,-0.450727639,-2.202612294,0.352317204,-0.042104466,0
20000208,0,1,-0.529102784,-1.073563492,0.049490486,-0.009127193,0
20000209,0.252593595,1,0.475064803,2.732646428,0.309676727,1.227319913,0
20000210,0.145000444,1,-2.358540732,0.470904227,-0.461022054,-2.081542228,0
20000211,0.096423562,1,-0.519015317,-0.563702973,0,0.362680376,0
20000214,1.238610478,0,-2.052118708,-1.377432445,-0.058088324,-2.096932019,3.677195179
20000215,0,0,0.90770239,-2.013461498,0.160352991,0.203295029,2.107658752
20000216,0.13509148,1,1.884534394,-1.044720396,0.261931614,0.871268437,0.255346112
20000217,-0.061364035,1,-1.461824657,2.367942823,0.240772577,-1.025641346,2.43096781
20000218,0.011480397,0,-0.443499962,1.006928197,0.307099542,0.042514862,-1.017157693
20000221,0.101874491,1,0,-0.713442842,-0.267213258,0,0.795521375
20000222,0.03992016,0,-2.806113529,-1.352796464,0.050497678,-3.03761858,0.248218632
20000223,0.353641356,0,0.834875943,-1.100037851,0.250584767,0.451684371,-0.875203149
20000224,0,1,-0.767691407,2.151394065,0.495446801,0.630090649,-0.061573609
20000225,0.118360277,0,-1.301624274,-0.934227992,0.265393918,-0.533544548,0.34326343
20000228,0.040924903,1,-2.283941507,1.828573799,-0.17378957,-1.482904044,0.503985089
20000229,0.01741604,0,1.789982995,-1.587607325,0.210039101,1.101732778,1.365571047
20000301,0.404882765,1,0.89313978,2.180470816,0.353518279,1.362708678,0.351050987
20000302,0.055467975,0,0.094982484,2.122706445,0.079275877,0.934551352,-0.427776443
20000303,-0.005894315,0,0.266230195,1.055793446,-0.209669029,0.186346269,0.895552614
20000306,0,1,1.989984,0.86130348,0.571778631,1.983704392,1.052460934
20000307,1.382884217,0,-1.897331933,1.237761927,0.031265613,-1.26954267,-1.13836977
20000308,0.880927911,0,-3.681920525,-1.542370474,-0.440583793,-2.563109745,0.2751987
20000309,0.066012542,0,0.617597111,-0.855173664,-0.076289938,0.817334949,0.506016351
20000310,0.097190585,0,1.564447049,1.885760845,0.368775011,2.560180819,-0.023436774
20000313,-0.084230229,0,-0.818223578,0.560311331,-0.095696237,-0.472286688,0.100882324
20000314,0.054462741,1,0.184408313,-1.549778342,-0.262426079,-0.820743865,-2.211481133
20000315,-1.292237006,1,-1.366119178,0.312362899,-0.113778457,-1.768547079,-0.299702368
20000316,0.018517375,0,3.263297181,-0.618151368,0.089268869,2.427251622,-0.616953925
20000321,0.070413519,0,0.802339885,1.014028667,0.164614447,-0.535344948,0.284650261
20000322,-0.356546319,1,2.126353014,-0.09963164,0.050356642,2.556585397,0.170552015
20000323,0.044036236,0,-0.372589839,-0.125414469,0.080674272,0.453186691,0.217498422
20000324,0.051499936,1,2.329687443,-0.226942626,0.241367756,1.779904623,0.812881753
20000327,0.057341276,0,-0.064215015,2.182086857,0.090492422,0.007201035,0.358106068
20000328,0.022393551,1,-0.781717906,-0.761294131,-0.036238841,-0.235683821,0.72712341
20000329,0.044625781,0,-0.813898821,-0.554792677,0.158143578,-1.058496526,0.359483838
20000330,-0.083426921,0,0.755381734,-0.771421366,-0.000971524,0.052399303,0.272193589
20000331,-0.254920942,0,-0.34913067,-2.327690103,-0.344542671,-1.365575248,-0.023800873
20000403,0.01635644,1,-0.531227249,1.473965077,-0.046865811,0.716430432,-0.036107987
20000404,-0.045610034,0,2.746859272,-1.194154532,0.10049737,0.493134515,-0.324377074
20000405,0.028009243,1,-0.508734697,-0.54316859,-0.234669798,-0.746362226,-0.249445556
20000406,0.104555118,1,-1.172609029,-0.742184456,0.065782591,-0.492395623,0.258868883
20000407,0.024088923,1,0.728205484,1.125519966,0.227360305,0.939239802,0.422577347
20000410,0.025687956,1,-0.025094407,1.841543337,0.572760011,0.999774224,0.368975261
20000411,0,1,0.675689439,-0.55556402,-0.362092928,-0.784120763,0.018724402
20000412,-0.01538793,0,0.898582888,-2.360175549,-0.226865858,-0.257234828,0.06720934
20000413,-0.2982357,0,-1.43482813,-0.44520299,-0.46469337,-2.22711885,0.028164948
20000417,-0.006584796,0,-5.655490118,-2.814219003,-0.455988014,-5.827793658,-0.220871801
20000418,0,0,2.685294283,-2.970168775,0.422751798,3.308359383,-0.040054082
20000419,0.208510037,0,1.747318491,1.32452375,0.150457264,2.866340742,0.308027318
20000420,0.053382683,1,-0.858701162,1.825813336,-0.236237962,-0.980848783,0.161153002
20000424,0.028255572,0,1.583985801,0,-0.028484694,0.495286636,0.197221882
20000425,-0.30259366,0,0.572201355,0.910286244,-0.253513143,-0.326240737,0.035490406
20000426,0.224355438,1,2.00548966,0.669739853,0.298649979,3.327595464,0.119828697
20000427,0.003481652,0,-1.61189399,-0.421773038,-0.064029619,-1.113409117,0.153968314
20000428,0.211729833,0,-0.52441999,-1.233919843,0.090842919,0.268999379,-0.073438233
20000502,0.245281007,0,0.725458932,2.396713247,0.513171978,1.08920536,0
